"source_yaml","source_file","cmo_id","context","mechanism","outcome","context_tags_raw","mechanism_tags_raw","outcome_tags_raw","context_tags","mechanism_tags","outcome_tags","programme","country","evidence_type","evidence_type_narrative","research_questions_mapped","supporting_evidence","supporting_evidence_paraphrase","confidence","confidence_justification","mechanism_theme_keys","mechanism_theme_labels"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_001","Weapons contractors face political or bureaucratic resistance to arms purchases and are primarily motivated by profit.","By offering cost offsets framed as economic benefits, sellers provide an inducement that shifts decision-makers’ reasoning from reluctance to acceptance.","Resistance to purchasing is reduced and procurement becomes more likely.","contractor_profit_motive;procurement_resistance;arms_sales_context","offset_as_marketing;economic_benefit_signaling;persuasion_inducement","reduced_resistance;increased_procurement_likelihood","arms_sales_context;contractor_profit_motive;procurement_resistance","offset_as_marketing","increased_procurement_likelihood;reduced_resistance","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","cost offsets are a marketing tool, a way of building enthusiasm for or overcoming resistance","The author explicitly describes offsets as a sales/marketing device intended to build enthusiasm or overcome resistance, which supports the mechanism of inducement shaping procurement choices.","high","The claim is explicit and directly states the role offsets play in overcoming purchase resistance.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_002","Governments may want to sustain or promote indigenous military-industrial firms but face political sensitivity around overt subsidies.","By embedding compensatory work in an offset package, officials can present support to domestic producers as a condition of purchase rather than a visible subsidy, reducing political costs.","Domestic producers receive indirect support and the procurement becomes easier to justify politically.","domestic_industry_politics;subsidy_sensitivity;indigenous_military_industry","political_cover;subsidy_masking","domestic_industry_support;reduced_political_cost","domestic_industry_politics;indigenous_military_industry;subsidy_sensitivity","political_cover","domestic_industry_support;reduced_political_cost","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","offsets will give them political cover for what amounts to providing hidden subsidies to indigenous military industrial firms","The text links offsets to providing political cover for hidden subsidies, supporting a mechanism where offsets change how subsidy-like transfers are perceived.","high","The passage directly states the political-cover logic and its subsidy-like function.","governance_opacity_rent_seeking","Governance opacity / rent-seeking"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_003","Weapons purchases can be unpopular with a skeptical public or with internal government opponents.","By making offsets appear to deliver large economic benefits (even if illusory), officials reduce perceived net costs and increase public acceptance.","Political opposition to the weapons purchase is weakened and approval is more likely.","public_opposition;political_contestation","perceived_economic_benefits;opposition_management","procurement_legitimation;opposition_reduction","political_contestation;public_opposition","benefit_justification","opposition_reduction;procurement_legitimation","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","any political opposition to the weapons purchase can be more easily overcome","The author argues that portraying offsets as delivering major economic benefits makes it easier to overcome opposition, indicating a persuasion mechanism affecting procurement politics.","high","The statement is explicit about offsets being used to reduce opposition.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_004","Offset obligations often extend over time and are exposed to changing political/economic conditions and asymmetric power between suppliers and (especially) LDC buyers.","Shifts in conditions, contractor fortunes, or bad faith reduce the ability and incentives to complete promised offset activities, especially when enforcement is weak.","Offset commitments may be partially fulfilled or not realized as agreed.","long_duration_obligations;power_asymmetry;political_economic_change","weak_enforcement;compliance_risk","non_fulfillment_risk;incomplete_delivery","long_duration_obligations;political_economic_change;power_asymmetry","weak_enforcement","incomplete_delivery;non_fulfillment_risk","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","changing political or economic conditions in the weapons supplying country, or in political and economic relations between the weapons supplying and purchasing countries, might interfere with the completion of the deal","The text explicitly notes that offsets stretched over time can be disrupted by changing conditions or relationships, supporting a mechanism of compliance risk leading to incomplete fulfillment.","high","The passage directly describes how changes can interfere with completing offset commitments.","governance_opacity_rent_seeking","Governance opacity / rent-seeking"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_005","International arms deals often lack openness, making monitoring and enforcing offset delivery difficult (especially for weaker buyers).","Structuring offset agreements to maximize transparency and create credible incentives/penalties increases supplier compliance with offset obligations.","The likelihood that the full offset package is realized increases.","low_transparency;arms_deal_secrecy;enforcement_constraints","transparency_design;incentive_alignment","improved_compliance;increased_realization","arms_deal_secrecy;enforcement_constraints;low_transparency","incentive_alignment;transparency_design","improved_compliance;increased_realization","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","there is thus a premium on finding ways to structure offset agreements that maximize both transparency and incentives for fulfilling offset obligations","The author emphasizes that offset agreements should be structured for transparency and incentives, implying these design features causally increase fulfillment.","medium","The logic is explicit, but it is presented as analytical guidance rather than measured evidence of effect sizes.","governance_opacity_rent_seeking","Governance opacity / rent-seeking"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_006","Suppliers may already buy from, invest in, or trade with the purchasing country, and outsiders often lack access to proprietary information to verify incremental activity.","By counting pre-existing transactions as meeting offset obligations, suppliers inflate apparent offset delivery without creating genuinely additional business.","Reported offset fulfillment overstates incremental economic benefit to the purchaser.","verification_difficulty;existing_commercial_ties","reclassification_gaming;non_additionality","overstated_benefits;limited_incremental_value","existing_commercial_ties;verification_difficulty","credit_inflation","limited_incremental_value;overstated_benefits","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","just a “creative reclassification” of business transactions","Using the UK AWACS example, the text describes controversy over whether counted offset activity was actually new business or merely reclassified existing purchases.","medium","The example is specific, but the chapter notes verification is difficult without supplier information.","governance_opacity_rent_seeking","Governance opacity / rent-seeking"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_007","Offset requirements can impose real costs on vendors, and procurement markets allow suppliers to price in those costs.","Vendors incorporate offset premiums into the weapons selling price to recoup offset costs.","Purchasing countries face higher procurement costs, reducing or negating net offset benefits.","offset_requirements;vendor_pricing_power","price_premium_pass_through","higher_procurement_costs;reduced_net_benefits","offset_requirements;vendor_pricing_power","cost_pass_through","higher_procurement_costs;reduced_net_benefit","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","vendors seek to include most of this premium in the selling price","Citing survey evidence, the chapter reports that offsets increase costs versus off-the-shelf purchase and that vendors try to build that premium into prices.","medium","The chapter cites secondary survey-based evidence but does not quantify the effect across cases beyond illustrative estimates.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_008","Direct offsets concentrate activity in the military sector, especially when resources (capital, skilled labor) are scarce.","Military-sector offset work diverts productive resources away from civilian production that contributes more directly to development.","Real economic development is hindered even if military-sector employment is created or preserved.","direct_offsets;resource_scarcity","resource_diversion;military_sector_bias","reduced_development;opportunity_cost","direct_offsets;resource_scarcity","resource_diversion","opportunity_cost;reduced_development","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","the military sector itself does not produce economic value and diverts real productive resources","The text argues that because military production does not add economic value, direct offsets that sustain military jobs divert resources from civilian activity that supports development.","medium","The mechanism is clearly argued, but the claim is theoretical and not supported with systematic empirical measurement in the chapter.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_009","Purchasing countries may lack hard currency or face unfavorable exchange rates and seek ways to conclude arms deals quickly with less scrutiny.","Barter bypasses financial constraints and reduces transaction transparency, which can advantage both supplier and purchasing government.","Arms procurement is facilitated without providing development benefits or mitigating the economic burden of procurement.","hard_currency_constraint;low_transparency","barter_circumvention;value_obfuscation","accelerated_procurement;no_development_benefit","hard_currency_constraint;low_transparency","cost_opacity;countertrade","accelerated_procurement;no_development_benefit","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","It therefore does nothing to mitigate the economic burden of military procurement.","The author states that barter is a way around financial constraints but does not encourage development, and therefore does not mitigate the procurement burden.","high","The passage explicitly makes the claim about barter’s lack of development value.","governance_opacity_rent_seeking;resource_diversion_industrial_erosion","Governance opacity / rent-seeking;Resource diversion / industrial erosion"
"arms_trade_offsets_chapters.yml","01-do-offsets-mitigate-or-magnify-the-military-burden.pdf","01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_010","Counterpurchase offsets are intended to compensate for procurement costs by expanding civilian exports and revenue inflows, particularly hard currency.","When counterpurchase creates genuinely additional export sales (not otherwise achievable or less profitable without the deal), it increases revenue and supports productive civilian employment.","The negative economic impacts of military procurement are partially mitigated via additional revenues/jobs.","counterpurchase_offsets;export_objectives","market_access_via_supplier;incremental_exports","increased_hard_currency;productive_civilian_jobs","counterpurchase_offsets;export_objectives","incremental_exports","increased_hard_currency;productive_civilian_jobs","unknown_programme","multi_country","theory_model","A conceptual chapter analyzing the political economy of offsets and their likely development impacts, with illustrative examples rather than systematic data.","rq3","counterpurchase offsets only mitigate the negative economic impacts of military procurement to the extent that they add to the inflow of revenue (especially hard currencies)","The chapter conditions any mitigation effect on whether counterpurchase produces additional revenue and productive jobs beyond what would occur absent the offset.","high","The author states the conditional logic explicitly, even if it is not backed by quantitative evidence here.","resource_diversion_industrial_erosion","Resource diversion / industrial erosion"
