Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,source_file,doc_id,cmo_id,outcome
Resistance to purchasing is reduced and procurement becomes more likely.,2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,1.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_001,Resistance to purchasing is reduced and procurement becomes more likely.
Domestic producers receive indirect support and the procurement becomes easier to justify politically.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_002,Domestic producers receive indirect support and the procurement becomes easier to justify politically.
Political opposition to the weapons purchase is weakened and approval is more likely.,1,1_arms_the_deal_market,"['arms', 'the', 'deal', 'market', 'opposition', 'taxpayer', 'external', 'of', 'political', 'partially']","['Net inflows of capital can partially mitigate the development cost of the arms purchase.', 'The arms deal produces damaging political fallout, including investigations and public evidence of improper practices.', 'The economic burden of the arms deal is softened (to a limited extent).']",arms - the - deal - market - opposition - taxpayer - external - of - political - partially,0.4143975712241238,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_003,Political opposition to the weapons purchase is weakened and approval is more likely.
Offset commitments may be partially fulfilled or not realized as agreed.,8,8_obligations_commitments_accounting_offset,"['obligations', 'commitments', 'accounting', 'offset', 'credits', 'realized', 'effective', 'value', 'for', 'become']","['The effective burden of offset obligations is reduced for the contractor in qualifying sectors.', 'Offset accounting can produce credit values that are not cost-based, increasing scope for inflated claims or disputes over value.', 'Offset obligations become more enforceable, with penalties for non-delivery and the ability to bank credits for future obligations.']",obligations - commitments - accounting - offset - credits - realized - effective - value - for - become,1.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_004,Offset commitments may be partially fulfilled or not realized as agreed.
The likelihood that the full offset package is realized increases.,15,15_packages_pursued_package_nonstandardised,"['packages', 'pursued', 'package', 'nonstandardised', 'persistence', 'implemented', 'prenegotiated', 'preproduction', 'postproduction', 'frameworks']","['Larger offset packages are pursued.', 'Government persistence with Coega is linked to the need for offsets sites and deliverables.', 'The agreed F-16 package falls short of the statutory 50% direct-offset requirement (by net value as reported).']",packages - pursued - package - nonstandardised - persistence - implemented - prenegotiated - preproduction - postproduction - frameworks,0.7938588496370238,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_005,The likelihood that the full offset package is realized increases.
Reported offset fulfillment overstates incremental economic benefit to the purchaser.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_006,Reported offset fulfillment overstates incremental economic benefit to the purchaser.
"Purchasing countries face higher procurement costs, reducing or negating net offset benefits.",0,0_procurement_offset_costs_influence,"['procurement', 'offset', 'costs', 'influence', 'are', 'packages', 'proposals', 'procurements', 'quantities', 'bundling']","['Mandatory bundling can prevent optimal outcomes and increase total costs relative to precise, negotiated bundling (or separate sourcing).', 'Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.']",procurement - offset - costs - influence - are - packages - proposals - procurements - quantities - bundling,0.5450298108674838,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_007,"Purchasing countries face higher procurement costs, reducing or negating net offset benefits."
Real economic development is hindered even if military-sector employment is created or preserved.,12,12_employment_created_creation_limited,"['employment', 'created', 'creation', 'limited', 'is', 'local', 'hegemony', 'channeled', 'captured', '90']","['Jobs may be created but with high fiscal burden and uncertain net employment effects over time.', 'Around 90 percent of DIP business is channeled to Gauteng, with minimal benefits for peripheral regions.', 'Gauteng’s hegemony is reinforced and employment creation is limited, especially in the periphery.']",employment - created - creation - limited - is - local - hegemony - channeled - captured - 90,0.8844726065081402,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_008,Real economic development is hindered even if military-sector employment is created or preserved.
Arms procurement is facilitated without providing development benefits or mitigating the economic burden of procurement.,1,1_arms_the_deal_market,"['arms', 'the', 'deal', 'market', 'opposition', 'taxpayer', 'external', 'of', 'political', 'partially']","['Net inflows of capital can partially mitigate the development cost of the arms purchase.', 'The arms deal produces damaging political fallout, including investigations and public evidence of improper practices.', 'The economic burden of the arms deal is softened (to a limited extent).']",arms - the - deal - market - opposition - taxpayer - external - of - political - partially,0.32550489851701486,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_009,Arms procurement is facilitated without providing development benefits or mitigating the economic burden of procurement.
The negative economic impacts of military procurement are partially mitigated via additional revenues/jobs.,13,13_defense_costly_procurement_civilian,"['defense', 'costly', 'procurement', 'civilian', 'public', 'welfare', 'increases', 'military', 'sizable', 'community']","['Belgium pays a sizable procurement penalty that crowds out other defense budget categories.', 'Public acceptance of costly defense procurement increases, even if development benefits are overstated.', 'Social welfare can be reduced unless military-industry returns exceed those of foregone civilian uses.']",defense - costly - procurement - civilian - public - welfare - increases - military - sizable - community,0.8062347160773162,False,cmo/arms_trade_offsets_chapters.yml,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_010,The negative economic impacts of military procurement are partially mitigated via additional revenues/jobs.
