Title,DOI
Mandated defence offsets: can they ever deliver?,10.1080/14751798.2014.894294
Explaining the persistence of defense offsets in a supply-driven arms trade,10.1080/10242694.2025.2490168
Success and failures of the Gripen offsets in the Visegrad Group countries,10.1080/14751798.2019.1640423
Death spiral of European offset?,10.1080/14751798.2020.1857917
Offset Contracts as an Insurance Device in Building the National Security,10.1080/10242694.2017.1335366
Into the black box? Technology sharing in major arms transfers and beyond,10.1080/14751798.2012.678146
Offset Multipliers and Defence Industrial Policy Efficiency,10.1080/10242694.2024.2378278
The Role of Offset in the Enduring Gestation of Indonesia’s Strategic Industries,10.1080/10242694.2022.2065423
Judicialized Law-Making and Opportunistic Enforcement: Explaining the EU’s Challenge of National Defence Offsets,10.1111/jcms.12290
Defense and Commercial Trade Offsets: Impacts on the U.S. Industrial Base Raise Economic and National Security Concerns,10.2753/JEI0021-3624450226
Offsets in Practice: The Experience of South Africa,10.15355/epsj.15.1.20
Defense Offsets and Political Leverage,10.15355/epsj.19.1.23
