"pair_id","theme_a_id","theme_a_label","theme_a_explanation","theme_b_id","theme_b_label","theme_b_explanation"
"P001","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment."
"P002","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers."
"P003","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development."
"P004","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases."
"P005","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment."
"P006","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it."
"P007","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs."
"P008","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P009","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P010","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P011","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P012","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P013","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P014","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P015","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P016","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P017","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P018","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P019","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P020","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P021","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P022","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
"P023","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM24","Indirect offsets stimulate targeted exports","Indirect offsets that require exporter purchases act like sector-specific price adjustments, stimulating exports in targeted sectors."
"P024","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM25","Opacity enables price discrimination","Lower visibility of offset-related pricing permits price discrimination or dumping in world markets that would be harder under transparent pricing."
"P025","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM26","Buyback hostage aligns incentives","Buyback obligations make sellers responsible for absorbing output, aligning incentives to avoid transferring obsolete technology that would undermine buyback viability."
"P026","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM27","Depreciation drives tech licensing","As technologies depreciate, sellers are incentivized to license them via offsets to monetise value before it declines further."
"P027","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM28","Exporter networks reduce market entry costs","Large exporters’ established distribution networks lower market-penetration costs for buyer-country products compared to what domestic firms could achieve alone."
"P028","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM29","Bundled contracting reduces transaction costs","Offsets can be embedded in complex bundles that lower transaction costs and reallocate rents under market imperfections."
"P029","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM30","Second-best offsets distort allocation","Using offsets as substitutes for broader macro or trade reforms distorts resource allocation and locks in inefficient sector-specific fixes."
"P030","PM1","Legitimation through economic framing","Presenting offsets as economic benefits or conditional support shifts decision-makers’ and publics’ cost-benefit reasoning, making purchases more politically acceptable.","PM31","Labour rents drive opposition to offsets","Anticipated losses of employment and labour-market rents motivate unions to oppose offsets and seek regulation that limits production shifting."
"P031","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM3","Cost pass-through via pricing","Suppliers internalise offset costs and recover them by raising the weapon sale price, shifting the burden to buyers."
"P032","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM4","Offsets crowd out civilian resources","Offset activity can absorb scarce capital, labour, or productive capacity, diverting resources away from civilian sectors that would otherwise drive development."
"P033","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases."
"P034","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment."
"P035","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it."
"P036","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs."
"P037","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P038","PM2","Compliance shaped by incentives and monitoring","Delivery depends on the enforcement regime: transparency and credible incentives/penalties encourage compliance, while weak oversight and accounting games reduce real fulfilment.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
