chunk_id,file_id,mechanism_statement,umap_0,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_001,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"By offering cost offsets framed as economic benefits, sellers provide an inducement that shifts decision-makers’ reasoning from reluctance to acceptance.",5.0704756,-1.9893095,3.611163,1.5782609,8.011621,3.0735915,-1.8127111,-0.15663314,2.3786962,1.3735373
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_002,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"By embedding compensatory work in an offset package, officials can present support to domestic producers as a condition of purchase rather than a visible subsidy, reducing political costs.",4.9080667,-1.2171413,4.22493,2.088846,7.841531,4.173941,-1.8615615,0.33614433,2.5162401,1.8351591
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_003,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"By making offsets appear to deliver large economic benefits (even if illusory), officials reduce perceived net costs and increase public acceptance.",5.5595665,-1.9206591,3.6982622,1.3102467,7.841031,3.2904246,-1.6497585,-0.003693151,2.464351,1.520186
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_004,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"Shifts in conditions, contractor fortunes, or bad faith reduce the ability and incentives to complete promised offset activities, especially when enforcement is weak.",5.3057933,-1.2579451,3.5629334,1.815616,7.7870965,3.627934,-1.9957063,-0.14331475,2.4649107,2.317195
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_005,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Structuring offset agreements to maximize transparency and create credible incentives/penalties increases supplier compliance with offset obligations.,4.8972745,-1.5881852,3.8189611,1.9994696,8.032735,2.880825,-2.2926106,-0.42100978,2.5737495,1.8194969
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_006,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"By counting pre-existing transactions as meeting offset obligations, suppliers inflate apparent offset delivery without creating genuinely additional business.",4.55092,-1.5358366,3.90627,2.1387792,8.162977,2.776781,-2.407871,-0.52836925,2.483327,1.7266967
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_007,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Vendors incorporate offset premiums into the weapons selling price to recoup offset costs.,4.2317085,-1.6834803,3.7174897,1.68397,8.518035,3.1451626,-2.0641668,-0.06946861,2.2583516,1.2711587
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_008,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Military-sector offset work diverts productive resources away from civilian production that contributes more directly to development.,5.162647,-0.7896617,4.593684,2.691274,7.396113,4.361475,-0.23001394,0.95587856,2.7963836,2.5680926
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_009,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"Barter bypasses financial constraints and reduces transaction transparency, which can advantage both supplier and purchasing government.",4.2691517,-0.9591778,3.311843,2.8805037,8.043442,2.8853629,-1.7581933,-0.5281942,2.4710133,2.0153747
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_010,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"When counterpurchase creates genuinely additional export sales (not otherwise achievable or less profitable without the deal), it increases revenue and supports productive civilian employment.",3.708147,-1.328752,4.2652364,3.1891923,8.33231,2.9955752,-1.5209644,-0.24527442,2.3338614,1.3384031
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_011,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"External grant funding adds resources for development projects, partially counterbalancing the resource drain of the arms purchase.",4.9889674,-0.51493984,4.2555175,3.015941,7.297018,4.1866255,0.0038885982,0.7047319,2.8219335,2.7593572
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_012,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"When offset investment is financed from outside the purchasing country, it increases net capital availability rather than reshuffling scarce domestic finance.",4.740226,-1.0053315,3.719748,2.1189432,7.9160185,3.636532,-0.9319981,0.20163614,2.4093595,1.5193737
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_013,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"When offset activity is financed domestically, it crowds out local investment opportunities by absorbing limited capital from within the purchasing country.",4.6927385,-0.9196051,3.8017068,2.2293441,7.897531,3.7281928,-0.99449414,0.21693034,2.3994503,1.5388191
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_014,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"Skills developed for performance-driven, cost-insensitive military production are not easily transferable (or require costly reshaping) to civilian production needs.",5.0632334,-0.7101482,4.5990505,2.9700587,7.360297,4.3496456,-0.08931979,0.964243,2.8910306,2.5660183
