min_cluster_size,min_samples,umap_n_neighbors,cluster_selection_method,n_topics,outlier_rate,score
10,2,5,eom,29,0.10945945945945947,0.10945945945945947
8,2,5,eom,37,0.11081081081081082,0.11081081081081082
8,1,5,eom,38,0.11891891891891893,0.11891891891891893
10,1,5,eom,32,0.12837837837837837,0.12837837837837837
8,1,5,leaf,41,0.13513513513513514,0.14388513513513515
15,1,10,eom,19,0.1472972972972973,0.1472972972972973
10,2,5,leaf,33,0.1554054054054054,0.1554054054054054
10,1,5,leaf,35,0.15675675675675677,0.15675675675675677
8,2,5,leaf,41,0.1527027027027027,0.1614527027027027
15,2,10,eom,19,0.16216216216216217,0.16216216216216217
8,1,15,eom,32,0.17162162162162162,0.17162162162162162
8,1,10,eom,39,0.1891891891891892,0.1891891891891892
20,1,10,eom,13,0.20135135135135135,0.20135135135135135
10,1,10,eom,31,0.20135135135135135,0.20135135135135135
10,1,10,leaf,32,0.20135135135135135,0.20135135135135135
8,1,10,leaf,41,0.1945945945945946,0.2033445945945946
15,2,5,eom,17,0.20945945945945946,0.20945945945945946
20,2,10,eom,13,0.21216216216216216,0.21216216216216216
20,1,10,leaf,15,0.21216216216216216,0.21216216216216216
20,2,10,leaf,14,0.21756756756756757,0.21756756756756757
15,1,10,leaf,21,0.21756756756756757,0.21756756756756757
8,1,15,leaf,36,0.23378378378378378,0.23378378378378378
15,2,10,leaf,21,0.23513513513513515,0.23513513513513515
10,2,10,leaf,31,0.23783783783783785,0.23783783783783785
8,5,5,leaf,31,0.24324324324324326,0.24324324324324326
15,1,5,eom,19,0.2472972972972973,0.2472972972972973
8,2,10,leaf,37,0.2472972972972973,0.2472972972972973
5,5,5,eom,41,0.2391891891891892,0.2479391891891892
20,1,5,eom,15,0.25,0.25
10,5,5,leaf,27,0.25135135135135134,0.25135135135135134
5,2,5,eom,57,0.11216216216216217,0.2609121621621622
15,2,5,leaf,19,0.26216216216216215,0.26216216216216215
5,5,15,eom,2,0.0,0.26249999999999996
8,2,10,eom,2,0.0,0.26249999999999996
8,2,15,eom,2,0.0,0.26249999999999996
8,5,5,eom,2,0.0,0.26249999999999996
8,5,10,eom,2,0.0,0.26249999999999996
8,5,15,eom,2,0.0,0.26249999999999996
10,1,15,eom,2,0.0,0.26249999999999996
10,2,10,eom,2,0.0,0.26249999999999996
10,2,15,eom,2,0.0,0.26249999999999996
10,5,5,eom,2,0.0,0.26249999999999996
10,5,10,eom,2,0.0,0.26249999999999996
10,5,15,eom,2,0.0,0.26249999999999996
15,1,5,leaf,20,0.2635135135135135,0.2635135135135135
15,2,15,eom,14,0.2648648648648649,0.2648648648648649
10,1,15,leaf,30,0.2702702702702703,0.2702702702702703
20,2,5,eom,14,0.27837837837837837,0.27837837837837837
20,2,15,eom,5,0.14864864864864866,0.27989864864864866
15,1,15,eom,16,0.2945945945945946,0.2945945945945946
15,1,15,leaf,16,0.2945945945945946,0.2945945945945946
5,1,5,eom,59,0.12837837837837837,0.29462837837837835
8,2,15,leaf,34,0.2959459459459459,0.2959459459459459
15,5,10,eom,19,0.3,0.3
15,5,10,leaf,19,0.3,0.3
5,5,10,eom,38,0.3,0.3
10,2,15,leaf,29,0.3054054054054054,0.3054054054054054
20,1,5,leaf,17,0.30675675675675673,0.30675675675675673
20,5,10,eom,15,0.30945945945945946,0.30945945945945946
20,5,10,leaf,15,0.30945945945945946,0.30945945945945946
20,1,15,eom,11,0.31486486486486487,0.31486486486486487
15,2,15,leaf,16,0.31756756756756754,0.31756756756756754
8,5,10,leaf,31,0.31891891891891894,0.31891891891891894
5,5,10,leaf,39,0.31891891891891894,0.31891891891891894
5,2,15,eom,56,0.17972972972972973,0.3197297297297297
5,1,15,eom,61,0.13918918918918918,0.3229391891891892
10,5,10,leaf,25,0.3256756756756757,0.3256756756756757
5,5,5,leaf,45,0.2851351351351351,0.3288851351351351
20,2,5,leaf,16,0.3310810810810811,0.3310810810810811
5,2,10,eom,56,0.1918918918918919,0.3318918918918919
5,1,10,eom,64,0.12972972972972974,0.3397297297297297
15,5,5,eom,17,0.34864864864864864,0.34864864864864864
15,5,5,leaf,17,0.34864864864864864,0.34864864864864864
20,5,5,eom,13,0.35405405405405405,0.35405405405405405
20,1,15,leaf,13,0.3662162162162162,0.3662162162162162
15,5,15,eom,13,0.37567567567567567,0.37567567567567567
20,5,5,leaf,15,0.3945945945945946,0.3945945945945946
5,1,15,leaf,66,0.16891891891891891,0.3964189189189189
5,2,5,leaf,65,0.1783783783783784,0.3971283783783784
20,5,15,eom,8,0.40675675675675677,0.40675675675675677
20,5,15,leaf,8,0.40675675675675677,0.40675675675675677
5,2,10,leaf,60,0.23243243243243245,0.40743243243243243
5,1,5,leaf,67,0.17297297297297298,0.40922297297297294
8,5,15,leaf,25,0.40945945945945944,0.40945945945945944
20,2,15,leaf,12,0.4135135135135135,0.4135135135135135
5,2,15,leaf,63,0.22027027027027027,0.4215202702702703
10,5,15,leaf,21,0.4243243243243243,0.4243243243243243
15,5,15,leaf,15,0.42567567567567566,0.42567567567567566
5,5,15,leaf,36,0.43783783783783786,0.43783783783783786
5,1,10,leaf,70,0.1864864864864865,0.4489864864864864
