chunk_id,file_id,outcome_statement,topic,umap_0,umap_1
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_001,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Resistance to purchasing is reduced and procurement becomes more likely.,2,6.7913566,7.310874
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_002,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Domestic producers receive indirect support and the procurement becomes easier to justify politically.,6,6.227937,7.807379
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_003,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Political opposition to the weapons purchase is weakened and approval is more likely.,5,5.3981795,10.413186
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_004,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Offset commitments may be partially fulfilled or not realized as agreed.,1,9.752708,7.0109606
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_005,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,The likelihood that the full offset package is realized increases.,7,8.738811,6.6755147
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_006,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Reported offset fulfillment overstates incremental economic benefit to the purchaser.,4,9.207417,6.5586977
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_007,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,"Purchasing countries face higher procurement costs, reducing or negating net offset benefits.",2,7.097549,7.3957043
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_008,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Real economic development is hindered even if military-sector employment is created or preserved.,20,6.570067,8.949724
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_009,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,Arms procurement is facilitated without providing development benefits or mitigating the economic burden of procurement.,5,5.5208426,10.287812
01_do_offsets_mitigate_or_magnify_the_military_burden_pdf__cmo_010,01-do-offsets-mitigate-or-magnify-the-military-burden.pdf,The negative economic impacts of military procurement are partially mitigated via additional revenues/jobs.,20,5.4550242,6.977493
