Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
Mandated defence offsets: can they ever deliver?,"Peter Hall, Stefan Markowski",Defense & Security Analysis,30,2,p148 - p162,2014,10.1080/14751798.2014.894294,30-May-2014,https://doi.org/10.1080/14751798.2014.894294,1426.0,11.0
Defence Offsets: A System-Level View,Joanna Spear,Strategic Analysis,37,4,p430 - p445,2013,10.1080/09700161.2013.802517,02-Aug-2013,https://doi.org/10.1080/09700161.2013.802517,405.0,0.0
"Defence Offsets, Weapons Proliferation and Emerging Security Challenges",M Uttley,Defence Studies,1,1,p172 - p182,2001,10.1080/714000009,06-Sep-2010,https://doi.org/10.1080/714000009,106.0,1.0
"UK firms' experience and perceptions of defence offsets: Survey results
                  1","Keith Hartley, Stephen Martin",Defence and Peace Economics,6,2,p123 - p139,1995,10.1080/10430719508404819,19-Oct-2007,https://doi.org/10.1080/10430719508404819,36.0,5.0
THE ROLE OF OFFSETS IN MALAYSIAN DEFENCE INDUSTRIALISATION,"Kogi Balakrishnan, Ron Matthews",Defence and Peace Economics,20,4,p341 - p358,2009,10.1080/10242690802333117,10-Sep-2009,https://doi.org/10.1080/10242690802333117,962.0,13.0
On the normality and abnormality of offsets obligations,"Peter Hall, Stefan Markowski",Defence and Peace Economics,5,3,p173 - p188,1994,10.1080/10430719408404791,19-Oct-2007,https://doi.org/10.1080/10430719408404791,57.0,14.0
"EU arms collaboration, procurement, and offsets: the impact of the war in Ukraine",Jonata Anicetti,Policy Studies,45,3-4,p443 - p466,2024,10.1080/01442872.2024.2324141,03-Mar-2024,https://doi.org/10.1080/01442872.2024.2324141,1344.0,11.0
"Saudi Arabia's defence offset programmes: Progress, policy and performance",Ron Matthews,Defence and Peace Economics,7,3,p233 - p251,1996,10.1080/10430719608404854,19-Oct-2007,https://doi.org/10.1080/10430719608404854,157.0,11.0
"A bridge too far? The arms deal, the Coega IDZ, and economic development in the Eastern Cape","Richard Haines, Stephen Hosking",Society in Transition,36,1,p1 - p23,2005,10.1080/21528586.2005.10419125,11-Jan-2012,https://doi.org/10.1080/21528586.2005.10419125,169.0,4.0
THE AUSTRALIAN GOVERNMENT OFFSETS PROGRAM,Peter Liesch,Prometheus,4,2,p306 - p323,1986,10.1080/08109028608629022,21-Oct-2008,https://doi.org/10.1080/08109028608629022,15.0,5.0
The defence-industry interface: The Dutch approach,Erik Dirksen,Defence and Peace Economics,9,1-2,p83 - p97,1998,10.1080/10430719808404895,19-Oct-2007,https://doi.org/10.1080/10430719808404895,166.0,1.0
India's Defence Offset Policy,Laxman Kumar Behera,Strategic Analysis,33,2,p242 - p253,2009,10.1080/09700160802518718,19-Mar-2009,https://doi.org/10.1080/09700160802518718,547.0,2.0
Some lessons from the Australian defense offsets experience,"Peter Hall, Stefan Markowski",Defense Analysis,12,3,p289 - p314,1996,10.1080/07430179608405705,19-Oct-2007,https://doi.org/10.1080/07430179608405705,37.0,9.0
Greek-Turkish tensions fuel defence industrialization,Ron Matthews,The RUSI Journal,144,1,p52 - p58,1999,10.1080/03071849908446355,20-Mar-2008,https://doi.org/10.1080/03071849908446355,99.0,2.0
